year,CLAMPS1,CLAMPS2
2015,3.0,0.0
2016,3.0,1.0
2017,4.0,5.0
2018,3.0,3.0
2019,6.0,8.0
2020,3.0,2.0
2021,5.0,5.0
2022,10.0,11.0
2023,5.0,11.0
2024,1.0,4.0
2025,0.5,0.5
2026,0.5,0.5
