year,article,review,preprint,peer-review,report,dissertation,letter,book,book-chapter,dataset,paratext,other
2015,0,0,0,0,1,0,0,0,0,0,0,0
2016,15,0,0,0,1,1,0,0,0,0,0,0
2017,20,0,1,0,1,4,0,0,0,1,0,1
2018,27,1,4,0,0,1,1,0,0,0,0,0
2019,31,1,3,0,3,2,0,0,0,0,1,1
2020,38,1,6,3,1,0,0,1,0,0,1,0
2021,32,0,2,11,0,1,0,0,0,0,0,0
2022,77,0,12,9,0,0,0,0,1,0,0,0
2023,84,2,8,2,3,1,0,0,0,0,1,0
2024,48,0,7,0,2,2,0,0,0,0,0,0
2025,57,3,5,5,0,0,0,0,0,0,0,0
2026,16,0,0,0,0,0,0,0,0,0,0,1
