campaign,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Multiple campaigns,0,0,0,0,0,0,0,0,0,1,0,0
(no campaign tag),0,2,1,1,2,2,3,7,11,1,3,1
LAPSE-RATE,0,2,3,1,1,7,3,5,3,1,1,0
PECAN,0,1,2,1,3,1,5,4,2,1,5,0
Perdigão,0,0,1,3,2,0,1,0,0,1,0,1
VORTEX-SE,0,1,0,0,3,3,0,1,0,0,0,0
LAFE,0,0,0,0,2,1,0,2,0,1,1,0
CHEESEHEAD,0,0,0,0,0,1,0,1,0,0,1,0
PERiLS,0,0,0,0,0,0,0,0,0,0,1,0
