campaign,CLAMPS,MP-1 / Mobile PISA,AERI retrieval,lidar retrieval,dataset DOI,NSSL/OU instruments
(no campaign tag),27,1,21,24,8,6
LAPSE-RATE,8,0,3,2,3,4
CHEESEHEAD,2,0,2,2,2,0
PECAN,2,2,1,1,0,1
Perdigão,1,0,0,1,1,0
VORTEX-SE,1,0,0,1,0,0
TORUS,1,0,0,0,0,0
