year,CLAMPS1,CLAMPS2
2015,1,0
2016,1,1
2017,2,4
2018,2,1
2019,2,3
2020,2,1
2021,3,2
2022,3,4
2023,1,3
2024,1,4
2025,0,0
2026,0,0
