doi,title,year,authors,journal,source,campaign,notes
10.5194/amt-13-2833-2020,The CopterSonde: an insight into the development of a smart unmanned aircraft system for atmospheric boundary layer research,2020,"Antonio R. Segales, Brian Greene, Tyler Bell, William Doyle, Joshua Martin, Elizabeth A. Pillar-Little, Phillip B. Chilson",Atmospheric Measurement Techniques,research_rabbit_csv,,
10.1175/mwr-d-18-0388.1,Interactions between a Nocturnal MCS and the Stable Boundary Layer as Observed by an Airborne Compact Raman Lidar during PECAN,2019,"Guo Lin, Bart Geerts, Zhien Wang, Coltin Grasmick, Xiaoqin Jing, Jing Yang",Monthly Weather Review,research_rabbit_csv,,
10.1175/mwr-d-18-0322.1,"Multicase Assessment of the Impacts of Horizontal and Vertical Grid Spacing, and Turbulence Closure Model, on Subkilometer-Scale Simulations of Atmospheric Bores during PECAN",2019,"Aaron Johnson, Xuguang Wang",Monthly Weather Review,research_rabbit_csv,,
10.1175/mwr-d-18-0423.1,"An Evaluation of the Impact of Assimilating AERI Retrievals, Kinematic Profilers, Rawinsondes, and Surface Observations on a Forecast of a Nocturnal Convection Initiation Event during the PECAN Field Campaign",2019,"Samuel K. Degelia, Xuguang Wang, David J. Stensrud",Monthly Weather Review,research_rabbit_csv,,
10.5194/amt-2019-171,Estimation of turbulence parameters from scanning lidars andin-situ instrumentation in the Perdigão 2017 campaign,2019,Norman Wildmann,Atmospheric Measurement Techniques Discussions,research_rabbit_csv,,
10.1175/mwr-d-22-0090.1,Assimilation of a coordinated fleet of uncrewed aircraft system observations in complex terrain: Observing System Experiments,2022,"Anders A. Jensen, James O. Pinto, Sean Bailey, Ryan A. Sobash, Glen S. Romine, Gijs de Boer, Adam L. Houston, Suzanne Smith, Dale Lawrence, Cory Dixon, Julie K. Lundquist, Jamey Jacob, Jack Elston, Sean Waugh, David Brus, Matthias Steiner",Monthly Weather Review,research_rabbit_csv,,
10.1175/mwr-d-18-0291.1,A Composite Perspective on Bore Passages during the PECAN Campaign,2019,"David M. Loveless, Timothy J. Wagner, David D. Turner, Steven A. Ackerman, Wayne F. Feltz",Monthly Weather Review,research_rabbit_csv,,
10.1175/waf-d-18-0200.1,Impact of Ground-Based Remote Sensing Boundary Layer Observations on Short-Term Probabilistic Forecasts of a Tornadic Supercell Event,2019,"Junjun Hu, Nusrat Yussouf, David D. Turner, Thomas A. Jones, Xuguang Wang",Weather and forecasting,research_rabbit_csv,,
10.1175/bams-d-17-0227.1,The Perdigão: Peering into Microscale Details of Mountain Winds,2019,"Harindra J. S. Fernando, Jakob Mann, J. M. L. M. Palma, Julie K. Lundquist, R. J. Barthelmie, Margarida Belo‐Pereira, William O. Brown, Fotini Katopodes Chow, Thomas Gerz, C. M. Hocut, Petra M. Klein, Laura S. Leo, José Carlos Matos, Steven Oncley, S. C. Pryor, Ludovic Bariteau, Tyler Bell, Nicola Bodini, M. Carney, Michael Courtney, Edward Creegan, Reneta Dimitrova, S. Gomes, Martin Hagen, J. O. Hyde, S. Kigle, Raghavendra Krishnamurthy, João Correia Lopes, Laura Jin Mazzaro, James M. T. Neher, Robert Menke, Patrick C. Murphy, Laura B. Oswald, Sebastian Otarola-Bustos, A. Pattantyus, C. Veiga Rodrigues, Arthur Schady, N. Sirin, Scott M. Spuler, Elin Svensson, Jessica Tomaszewski, David D. Turner, Leendert van Veen, Nikola Vasiljević, Daniel Vassallo, Stephan Voß, Norman Wildmann, Y. Wang",Bulletin of the American Meteorological Society,research_rabbit_csv,,
10.1175/jas-d-16-0333.1,A 1D Theoretical Analysis of Northerly Low-Level Jets over the Great Plains,2017,"Joshua Gebauer, Evgeni Fedorovich, Alan Shapiro",(missing journal),research_rabbit_csv,,
10.5194/gmd-15-5195-2022,Evaluation of a forest parameterization to improve boundary layer flow simulations over complex terrain. A case study using WRF-LES V4.0.1,2022,"Julian Quimbayo-Duarte, Johannes Wagner, Norman Wildmann, Thomas Gerz, Juerg Schmidli",Geoscientific Model Development,research_rabbit_csv,,
10.1175/mwr-d-20-0359.1,Assimilation of a Coordinated Fleet of Uncrewed Aircraft System Observations in Complex Terrain: EnKF System Design and Preliminary Assessment,2021,"Anders A. Jensen, James O. Pinto, Sean Bailey, Ryan A. Sobash, Gijs de Boer, Adam L. Houston, Phillip B. Chilson, Tyler Bell, Glen S. Romine, Suzanne Smith, Dale Lawrence, Cory Dixon, Julie K. Lundquist, Jamey Jacob, Jack Elston, Sean Waugh, Matthias Steiner",Monthly Weather Review,research_rabbit_csv,,
10.1175/mwr-d-22-0051.1,Factors Affecting The Rapid Recovery Of Cape On 31 March 2016 During Vortex-Southeast,2023,"Allison T. LaFleur, Robin L. Tanamachi, Daniel T. Dawson, David D. Turner",Monthly Weather Review,research_rabbit_csv,,
10.5194/amt-2019-453,Confronting the boundary layer data gap: evaluating new and existing methodologies of probing the lower atmosphere,2020,"Tyler Bell, Brian Greene, Petra M. Klein, M. F. Carney, M. Carney, Phillip B. Chilson",Atmospheric Measurement Techniques,research_rabbit_csv,,
10.1175/mwr-d-19-0190.1,Observed Near-Storm Environment Variations across the Southern Cumberland Plateau System in Northeastern Alabama,2020,"Anthony W. Lyza, Todd A. Murphy, Barrett Goudeau, Preston T. Pangle, Kevin R. Knupp, Ryan Wade",Monthly Weather Review,research_rabbit_csv,,
10.5194/essd-13-3539-2021,Turbulence dissipation rate estimated from lidar observations during the LAPSE-RATE field campaign,2021,"Miguel Sanchez Gomez, Julie K. Lundquist, Petra M. Klein, Tyler Bell",Earth System Science Data,research_rabbit_csv,,
